Name,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration,Content Rating,Rating,Synopsis,Genre,Tags,Director,Screenwriter,Cast,Production companies,Rank
Doctor John,"Jul 19, 2019 - Sep  7, 2019",2019,SBS," Friday, Saturday",32.0,35 min.,15+ - Teens 15 or older,8.5,“doctor john” is a medical drama about doctors specializing in pain management. in a refreshing take on the genre  “doctor john” will portray the doctors’ search for the cause of their patients’ mysterious pain as a thrilling chase  almost like a detective hunting down the perpetrator behind an unsolved crime.,mystery   romance   life   medical,"Smart Male Lead, Incurable Disease, Eccentric Male Lead, Euthanasia, Hardworking Male Lead, PTSD, Ex-convict, Secret, Trauma, Tragic Past",Jo Soo Won,Kim Ji Woon,"Ji Sung, Lee Se Young, Lee Kyu Hyung, Hwang Hee, Jung Min Ah, Kwon Hwa Woon",KPJ,#112
"Hi Bye, Mama!","Feb 22, 2020 - Apr 19, 2020",2020,"Netflix, tvN","Saturday, Sunday",16.0,1 hr. 10 min.,15+ - Teens 15 or older,8.5,it's the story of a mother who died and begins a 49-day long project of reincarnation  and a husband who has barely begun to live a new life after overcoming the pain of losing his wife. jo kang hwa is a skilled thoracic surgeon. after losing his wife four years ago  he had been working as a single father until he got married again two years ago. while he seems like a caring person  he does not offer a hand nor intervene when needed.,romance  drama  melodrama  supernatural,"Mother-Daughter Relationship, Nice Female Lead, Death, Reincarnation, Sismance, Ghost, Heartbreak, Remarriage, Father-Daughter Relationship, Nice Stepmother",Yoo Je Won,Kwon Hye Joo,"Kim Tae Hee, Lee Kyu Hyung, Go Bo Gyeol, Seo Woo Jin, Shin Dong Mi, Oh Eui Shik",MI Inc.,#113
Voice,"Jan 14, 2017 - Mar 12, 2017",2017,OCN,"Saturday, Sunday",16.0,60 min.,15+ - Teens 15 or older,8.5,popular detective moo jin hyuk who is filled with guilt for his wife’s death  works with professional voice profiler kang kwon joo  whose father is killed  to solve a different crime  chasing for the serial killer responsible for the deaths of their family members.,thriller  mystery  psychological,"Strong Female Lead, Murder, Aggressive Male Lead, Special Power, Mad Dog, Death, Investigation, Suspense, Policewoman, Character Development",Kim Hong Seon,Ma Jin Won,"Jang Hyuk, Lee  Ha Na, Baek Sung Hyun, Ye Sung, Son Eun Seo, Kim Jae Wook",Content K,#114
Fight For My Way,"May 22, 2017 - Jul 11, 2017",2017,KBS2," Monday, Tuesday",16.0,60 min.,15+ - Teens 15 or older,8.5,can you still go after your dreams without the right background?,business   comedy   romance   sports,"Childhood Friends, Friends To Lovers, Strong Male Lead, Strong Female Lead, Neighbors, Strong Friendship, Personal Growth, Character Development, Secondary Couple, Ex-girlfriend Comes Back","Lee Na Jung, Kim Dong Hwi",Im Sang Choon,"Park Seo Joon, Kim Ji Won, Ahn Jae Hong, Song  Ha Yoon, Kim Sung Oh, Jin Hee Kyung",Pan Entertainment,#115
Squid Game,"Sep 17, 2021",2021,Netflix,Friday,9.0,60 min.,18+ Restricted (violence & profanity),8.5,after a failed business venture  the debt-ridden chauffeur seong gi hun lives his life gambling away the money he mooches off his elderly mother while failing to provide for her and his estranged daughter. when his life finally hits rock bottom  he receives an irresistible offer promising him a ₩45.6 billion prize in exchange for winning traditional korean children's games against 455 other players  among them his childhood friend cho sang woo. commencing the games  the participants soon learn of the deadly consequences that come with losing.,action   thriller   mystery   drama,"Death, Death Game, Poor Male Lead, Extreme Violence, Debt, Gore, Competition, Game Show, Survival, Murder",Hwang Dong Hyuk,Hwang Dong Hyuk,"Lee Jung Jae, Park Hae Soo, Jung Ho Yeon, Wi Ha Joon, Anupam Tripathi, Oh Young Soo",Siren Pictures Inc.,#116
W,"Jul 20, 2016 - Sep 14, 2016",2016,MBC,"Wednesday, Thursday",16.0,60 min.,15+ - Teens 15 or older,8.5,"oh sung moo  the father of cardiothoracic surgeon oh yeon joo  mysteriously goes missing while writing the last chapter of his webtoon ""w"". yeon joo goes to his office looking  but a hand from his monitor suddenly pulls her in  and she finds herself on the rooftop of a building  next to a bloodied man. she manages to save the person  only to realize that he is kang cheol  the main character of her father's webtoon. yeon joo later discovers she can only enter and leave the webtoon depending on kang cheol's feelings.",thriller  comedy  romance  fantasy,"Parallel Dimension, Gun Violence, Crossworlds Traveler, Steamy Kiss, Rich Male Lead, Lovers Separated, Attempted Murder, Murder, Fight, Revenge",Jeong Dae Yun,Song Jae Jung,"Han Hyo Joo, Lee Jong Suk, Kim Eui Sung, Lee Tae Hwan, Jung Eugene, Lee Si Eon",Chorokbaem Media,#117
Queen Seon Duk,"May 25, 2009 - Dec 22, 2009",2009,MBC,"Monday, Tuesday",62.0,1 hr. 5 min.,15+ - Teens 15 or older,8.5,the story of a beautiful queen  who has to give up her love to save the people. a biopic of queen seondeok  who was born a princess and later became the ruler of silla  leaving behind many brilliant achievements.,historical  romance  drama  political,"Power Struggle, Royalty, Smart Female Lead, Female Antagonist, Hwarang, Military, Cross-Dressing, Silla Dynasty, Sword-fight, Strong Female Lead","Park Hong Kyun, Kim Keun Hong","Kim Young Hyun, Park Sang Yeon","Lee Yo Won, Go Hyun Jung, Park Ye Jin, Yoo Seung Ho, Kim Nam Gil, Uhm Tae Woong",Time Box Production,#118
Mad for Each Other,"May 24, 2021 - Jun 21, 2021",2021,"Daum Kakao TV, Netflix","Monday, Tuesday, Wednesday",13.0,35 min.,15+ - Teens 15 or older,8.5,about two people with their own painful stories who go through a complicated process of hurting and healing while falling in love with each other. no hwi oh is a detective in the violent crimes division of the gangnam police station. he thinks that he is doing well until his life suddenly takes a turn and he becomes a “crazy” person who can’t hold in his anger about anything. lee min kyung is a woman who is caught up in her own delusions and compulsions. she had lived an ordinary life as a pretty woman with a respectable job until “that incident” that caused everything in her life to break down. as a result  she was unable to trust anyone and is caught in a prison of her own making. her delusions also have the unfortunate side effect of making everyone else around her angry.,comedy  romance  drama,"Trauma, Enemies To Lovers, Anger Management Issues, Healing, Character Development, Unfortunate Male Lead, Dating Violence, Stalking, Cross-Dressing, Dog",Lee Tae Gon,Ah Kyung,"Oh Yeon Seo, Jung Woo, Lee Su Hyun, Ahn Woo Yeon, Kim Nam Hee, Baek Ji Won","Kakao Entertainment, S-PEACE",#119
Dali and the Cocky Prince,"Sep 22, 2021 - Nov 11, 2021",2021,KBS2," Wednesday, Thursday",16.0,1 hr. 5 min.,15+ - Teens 15 or older,8.5,as a young boy  moo hak grew up in the market as a peddler. although he is ignorant  he is strong-willed and knows how to make money. he is now the managing director of dondon f and b  a global restaurant chain that his family started as a small gamjatang diner. however  he isn't dignified and only cares about money. he meets da li  the only daughter and child of an upper-class family who runs an art gallery. she has a profound deep knowledge of things. she gets faced with bankruptcy due to her father's sudden death and begins a hard life. moo hak and da li start a relationship as a creditor and debtor over the art gallery. will these two polar opposites understand each other and fall in love?,comedy   romance   drama,"Smart Female Lead, Rich Female Lead, Art Gallery, Rich Male Lead, Multilingual, Bankruptcy, Art, Eccentric Male Lead, Healthy Mains’ Relationship, Male Chases Female First",Lee Jung Sub,Son Eun Hye,"Park Gyu Young, Kim Min Jae, Kwon Yool, Hwang Hee, Yeonwoo, Park Sang Myun","Monster Union, Copus Korea",#120
Thirty But Seventeen,"Jul 23, 2018 - Sep 18, 2018",2018,SBS,"Monday, Tuesday",32.0,35 min.,15+ - Teens 15 or older,8.5,woo seo ri  a violin prodigy at 17 who was about to study in germany  got into a bus accident and fell into a coma waking up 13 years later. mentally she is still only 17  while physically she is now 30. due to a trauma he experienced 13 years before  gong woo jin does not want to have a relationship with others. this series is about a man and a woman whose lives in their own ways essentially stopped when they were 17. together  they use all their might to try and open the door to the happiness that they once thought had been closed to them.,music  mystery  comedy  romance,"Cohabitation, Healing, First Love, Coma, Tragic Past, Naive Female Lead, Nice Female Lead, Trauma, Eccentric Male Lead, Nice Male Lead",Jo Soo Won,Jo Sung Hee,"Shin Hye Sun, Yang Se Jong, Ahn Hyo Seop, Ye Ji Won, Wang Ji Won, Yoon Sun Woo",Bon Factory Worldwide,#121
When the Camellia Blooms,"Sep 18, 2019 - Nov 21, 2019",2019,"KBS2,  Netflix "," Wednesday, Thursday",40.0,35 min.,15+ - Teens 15 or older,8.5,dong baek is a single mother living in the small town of ongsan. she runs the bar-restaurant camellia  while also taking care of her son pil gu. the people of ongsan frequently gossip about dong baek. she grew up as an orphan  is a single mother and runs a bar where many of the men in ongsan frequent. regardless of what the locals may whisper about dong baek  local police officer hwang yong shik is deeply in love with her. meanwhile  dong baek's ex-boyfriend kang jong ryeol suddenly reappears in her life. he is a famous baseball player  that hid their relationship when they dated. while dong baek tries to find happiness  something truly sinister lurks in the background. a serial killer roams ongsan and dong baek may be a target.,thriller   comedy   romance   drama   family,"Single Mother, Mystery, Motherhood, Serial Killer, Mother-Son Relationship, Hardworking Female Lead, Dorky Male Lead, Male Chases Female First, Nice Male Lead, Independent Female Lead","Kang Min Kyung, Cha Young Hoon",Im Sang Choon,"Gong Hyo Jin, Kang Ha Neul, Kim Ji Suk, Son Dam Bi, Oh Jung Se, Yeom Hye Ran",Pan Entertainment,#122
Be Melodramatic,"Aug 9, 2019 - Sep 28, 2019",2019,"jTBC, Viki","Friday, Saturday",16.0,1 hr. 5 min.,15+ - Teens 15 or older,8.5,im jin joo  lee eun jung  and hwang han joo are best friends who are  30-years-old. hwang han joo is the head of a marketing team for a drama production company. she is a single mother who struggles to balance her work and personal life as she is raising a kid. im jin joo is a drama writer with a lot of emotional ups and downs. her personality is unique  talking to a luxurious purse at times. even though she is a drama writer  she tries to write her scripts in a literary style. lee eun jung is a documentary director. she runs her own  production company  although she's the only employee. one of her documentaries  surprisingly becomes popular overnight.,comedy  romance  life  melodrama,"Multiple Mains, Sismance, Strong Female Lead, Multiple Couples, Independent Female Lead, Eccentric Female Lead, Badass Female Lead, Entertainment Industry, Smart Female Lead, Boss-Employee Relationship",Kim Hye Young,Kim Young Young,"Chun Woo Hee, Jeon Yeo Been, Han Ji Eun, Ahn Jae Hong, Gong Myung, Lee Joo Bin",Samhwa Networks,#123
Itaewon Class,"Jan 31, 2020 - Mar 21, 2020",2020,"jTBC, Netflix","Friday, Saturday",16.0,1 hr. 10 min.,15+ - Teens 15 or older,8.5,"park saeroyi's life has been turned upside down after he gets expelled from school for punching a bully and his father is killed in an accident. following his father's steps  he opens a pub named ""danbam"" in itaewon and  along with his manager and staff  strive towards success and reaching greater heights.",business  romance  life  drama,"Revenge, Time Skip, Smart Female Lead, Female Chases Male First, Badass Female Lead, Strong Female Lead, Boss-Employee Relationship, Tragic Past, Nice Male Lead, Adapted From A Webtoon","Kang Min Gu, Kim Seong Yoon",Cho Kwang Jin,"Park Seo Joon, Kim Da Mi, Kwon Na Ra, Yoo Jae Myung, Ahn Bo Hyun, Kim Dong Hee","Showbox, Zium Content, JTBC Studios",#124
