Name,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration,Content Rating,Rating,Synopsis,Genre,Tags,Director,Screenwriter,Cast,Production companies,Rank
Move to Heaven,"May 14, 2021",2021,Netflix,Friday,10.0,52 min.,18+ Restricted (violence & profanity),9.2,geu roo is a young autistic man. he works for his father’s business “move to heaven.” their job is to arrange items left by deceased people. one day  geu roo's own father dies. geu roo is left alone  but his uncle sang koo suddenly appears in front of him. sang koo is a cold man. he was a martial artist who fought in underground matches. he went to prison because of what happened at his fight. sang koo now becomes geu roo’s guardian. they run “move to heaven” together.,life   drama   family,"Autism, Uncle-Nephew Relationship, Death, Savant Syndrome, Mourning, Tearjerker, Father-Son Relationship, Life Lesson, Ex-convict, Cleaning And Organizing",Kim Sung Ho,Yoon Ji Ryun,"Lee Je Hoon, Tang Jun Sang, Hong Seung Hee, Jung Suk Yong, Jung Young Joo, Lee Moon Shik","Page One Film, Number Three Pictures",#1
Flower of Evil,"Jul 29, 2020 - Sep 23, 2020",2020,tvN," Wednesday, Thursday",16.0,1 hr. 10 min.,15+ - Teens 15 or older,9.1,although baek hee sung is hiding a dark secret surrounding his true identity  he has established a happy family life and a successful career. he is a loving husband and doting father to his young daughter. but his perfect façade begins to crumble when his wife  cha ji won  a homicide detective  begins investigating a string of serial murders from 15 years ago. ji won notices changes in hee sung’s behavior and begins to wonder if he could possibly be hiding something from her.,thriller   romance   crime   melodrama,"Married Couple, Deception, Suspense, Family Secret, Hidden Personality, Smart Female Lead, Antisocial Personality Disorder, Investigation, Serial Killer, Psychopath","Kim Chul Gyu, Yoon Jong Ho",Yoo Jung Hee,"Lee Joon Gi, Moon Chae Won, Jang Hee Jin, Seo Hyun Woo, Nam Ki Ae, Son Jong Hak",Monster Union,#2
Hospital Playlist,"Mar 12, 2020 - May 28, 2020",2020,"Netflix,  tvN ",Thursday,12.0,1 hr. 30 min.,15+ - Teens 15 or older,9.1,the stories of people going through their days that are seemingly ordinary but actually special  at the hospital  a place known as the microcosm of life  where someone is being born and someone's life meets their ending. the five doctors are long-time friends of 20 years who started their undergrad in 1999 in the same medical school and now are colleagues in the same hospital and have a band together.,friendship   romance   life   medical,"Strong Friendship, Multiple Mains, Best Friends, Hospital, Slow Romance, Strong Female Lead, Multiple Couples, Slight Romance, Nice Male Lead, Bromance",Shin Won Ho,Lee Woo Jung,"Jo Jung Suk, Yoo Yeon Seok, Jung Kyung Ho, Kim Dae Myung, Jeon Mi Do, Shin Hyun Bin","Egg Is Coming, CJ ENM",#3
Hospital Playlist 2,"Jun 17, 2021 - Sep 16, 2021",2021,"Netflix,  tvN ",Thursday,12.0,1 hr. 40 min.,15+ - Teens 15 or older,9.1,everyday is extraordinary for five doctors and their patients inside a hospital  where birth  death and everything in between coexist.,friendship   romance   life   medical,"Workplace, Strong Friendship, Best Friends, Multiple Mains, Band, Music, Strong Female Lead, Multiple Couples, Comedy, Hospital",Shin Won Ho,Lee Woo Jung,"Jo Jung Suk, Yoo Yeon Seok, Jung Kyung Ho, Kim Dae Myung, Jeon Mi Do, Shin Hyun Bin","Egg Is Coming, CJ ENM",#4
My Mister,"Mar 21, 2018 - May 17, 2018",2018,tvN," Wednesday, Thursday",16.0,1 hr. 17 min.,15+ - Teens 15 or older,9.1,park dong hoon is a middle-aged engineer who is married to attorney kang yoon hee. however  his life is not that happy as he has two unemployed brothers  sang hoon and gi hoon  who rely on him. moreover  his wife is secretly having an affair with ceo do joon yeong  his current boss and college junior.,psychological   life   drama   family,"Age Gap, Nice Male Lead, Strong Female Lead, Hardship, Smart Female Lead, Healing, Depression, Poor Female Lead, Workplace, Infidelity","Kim Won Suk, Kim Sang Woo",Park Hae Young,"Lee Sun Kyun, IU, Park Ho San, Song Sae Byuk, Lee Ji Ah, Kim Young Min",Chorokbaem Media,#5
Reply 1988,"Nov  6, 2015 - Jan 16, 2016",2015,tvN," Friday, Saturday",20.0,1 hr. 40 min.,15+ - Teens 15 or older,9.1,five childhood friends  who all live in the same ssangmundong neighborhood of seoul  lean on each other to survive their challenging teen years and set a path for their futures. sung deok sun struggles for attention as the middle child in her poor family while also carrying the burden of her 999th ranking in school. kim jung hwan only has a one-track mind for soccer  even after his family becomes rich overnight. sung sun woo is the perfect student  student council president and a caring and dependable son in his family. ryu dong ryong is a geek who knows more about girls and life than the rest of his friends  but his poor academic score prevents him from being able to go to college. choi taek is a genius baduk player who dropped out of school to go professional. as the group of friends gets into and out of mischief around the neighborhood  what experiences from these memorable times together will they carry with them into their future lives? edit translation  english русский ελληνικά italiano,comedy   romance   youth   family,"Neighbors, Slice Of Life, Childhood Friends, Multiple Couples, Nostalgia, Poor Family, Love Triangle, Best Friends, Heartfelt, High School","Shin Won Ho, Yoo Hak Chan",Lee Woo Jung,"Lee Hye Ri, Go Kyung Pyo, Ryu Joon Yeol, Park Bo Gum, Lee Dong Hwi, Sung Dong Il",CJ ENM,#6
Weak Hero Class 1,"Nov 18, 2022",2022,Wavve,Friday,8.0,40 min.,18+ Restricted (violence & profanity),9.1,yeon shi eun is a model student who ranks at the top of his high school. physically  yeon shi eun appears weak  but by using his wits and psychology  he fights against the violence that takes place inside and outside of his school.,action  youth  drama,"Bromance, Smart Male Lead, Violence, School Bullying, Adapted From A Webtoon, Delinquent Supporting Character, Quiet Male Lead, Skilled Fighter, Hidden Past, Strong Male Lead",You Su Min,Jun Hee Han,"Park Ji Hoon, Choi Hyun Wook, Hong Kyung, Kim Su Gyeom, Lee Yeon, Shin Seung Ho",PlayList Global,#7
Prison Playbook,"Nov 22, 2017 - Jan 18, 2018",2017,"Netflix,  tvN "," Wednesday, Thursday",16.0,1 hr. 32 min.,15+ - Teens 15 or older,9.1,kim je hyuk  a famous baseball player  is arrested after using excessive force while chasing a man trying to sexually assault his sister. shockingly to him and the rest of the nation  he is sentenced to a year in prison. there  he meets his childhood friend and fellow baseball player  lee joon ho  who gave up on baseball after a car accident  but now is a prison guard and one of je hyuk's biggest fans. the drama revolves around je hyuk's time in prison  as well as the prisoners he meets and events that take place there.,comedy   crime   life   drama,"Prison, Bromance, Wrongfully Accused, Life Lesson, Slight Romance, Strong Male Lead, Character Development, Baseball, Gangster, Murder",Shin Won Ho,"Jung Bo Hoon, Lee Woo Jung","Park Hae Soo, Jung Kyung Ho, Krystal Jung, Im Hwa Young, Ye Soo Jung, Kim Kyung Nam",tvN,#8
Alchemy of Souls,"Jun 18, 2022 - Aug 28, 2022",2022,"Netflix, tvN","Saturday, Sunday",20.0,1 hr. 20 min.,15+ - Teens 15 or older,9.0,"set in a fictional country called daeho that does not exist in history or on maps  it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls""  which allows souls to switch bodies. it follows the story of an elite assassin named naksu  whose soul is accidentally trapped inside the weak body of mu deok—jang uk's servant from a powerful and noble mage family in the country. the young master of the jang family  jang uk  holds a dark secret about his scandalous birth. he wants the formidable assassin to help change his destiny.",action  historical  romance  fantasy,"Magical Power, Supernatural, Transmigration, Strong Female Lead, Kind Male Lead, Multiple Mains, Master/Disciple Relationship, Master/Apprentice, Hidden Identity, Body Swap",Park Joon Hwa,"Hong Jung Eun, Hong Mi Ran","Lee Jae Wook, Jung So Min, Hwang Hyun Min, Shin Seung Ho, Yoo Joon Sang, Oh Na Ra","Studio Dragon, High Quality",#9
Extraordinary Attorney Woo,"Jun 29, 2022 - Aug 18, 2022",2022,"ENA, Netflix","Wednesday, Thursday",16.0,1 hr. 17 min.,15+ - Teens 15 or older,9.0,diagnosed with autism spectrum disorder  27-year-old woo young woo graduated at the top of her class from the prestigious seoul national university for both college and law school due to her high iq of 164  impressive memory  and creative thought process. working as a lawyer  she finds herself struggling when it comes to social interactions.,law  romance  life  drama," Autistic Female Lead, Autism, Attorney Female Lead, Smart Female Lead, Law Firm, Workplace Setting, Nice Male Lead, Father-Daughter Relationship, Courtroom Setting, Single Mother/Father Supporting Character",Yoo In Shik,Moon Ji Won,"Park Eun Bin, Kang Tae Oh, Kang Ki Young, Jeon Bae Soo, Baek Ji Won, Jin Kyung","AStory, KT Studio Genie, Nangman Crew",#10
Mr. Queen,"Dec 12, 2020 - Feb 14, 2021",2020,tvN," Saturday, Sunday",20.0,1 hr. 20 min.,15+ - Teens 15 or older,9.0,jang bong hwan is a south korean chef who has risen up the ranks to cook for the country’s top politicians in the blue house’s presidential residences. after a serious accident  he finds himself in the body of the young queen  kim so yong  when whisked away to an era deep in korea’s past.,historical   mystery   comedy   romance,"Smart Male Lead, Transmigration, Calm Male Lead, Joseon Dynasty, Time Travel, Sassy Female Lead, Body Swap, Gender Swap, Eccentric Female Lead, Power Struggle",Yoon Sung Shik,"Park Kye Ok, Choi Ah Il","Shin Hye Sun, Kim Jung Hyun, Bae Jong Ok, Kim Tae Woo, Jo Yun Hee, Seol In Ah","Crave Works, YG Entertainment",#11
Mother,"Jan 24, 2018 - Mar 15, 2018",2018,tvN," Wednesday, Thursday",16.0,1 hr. 3 min.,15+ - Teens 15 or older,9.0,realizing one of her students is being abused  school teacher and bird researcher soo jin impulsively kidnaps the girl and acts as a substitute mother in an attempt to take care of her.,thriller   mystery   psychological   melodrama,"Mother-Daughter Relationship, Independent Female Lead, Orphan Female Lead, Smart Female Lead, Child Abuse, Adoption, Strong Female Lead, Motherhood, Psychopath, Cohabitation","Kim Chul Gyu, Yoon Hyun Gi",Jung Seo Kyung,"Lee Bo Young, Heo Yool, Lee Hye Young, Go Sung Hee, Lee Jae Yoon, Go Bo Gyeol",The Unicorn,#12
It's Okay to Not Be Okay,"Jun 20, 2020 - Aug  9, 2020",2020,"Netflix,  tvN "," Saturday, Sunday",16.0,1 hr. 15 min.,15+ - Teens 15 or older,9.0,moon gang tae is a community health worker at a psychiatric ward who was blessed with everything including a great body  smarts  ability to sympathize with others  patience  ability to react quickly  stamina  and more. meanwhile  ko moon young is a popular writer of children’s literature who  due to suffering from an antisocial personality disorder  seems extremely selfish  arrogant  and rude.,psychological   comedy   romance   drama,"Sibling Relationship, Melodrama, Mental Health, Independent Female Lead, Emotionally Wounded, Successful Female Lead, Healing, Caregiver, Childhood Connection, Psychiatry","Park Shin Woo, Jung Dong Yoon",Jo Yong,"Kim Soo Hyun, Seo Yea Ji, Oh Jung Se, Park Gyu Young, Jang Young Nam, Kim Chang Wan","Story TV, Gold Medalist",#13
Crash Landing on You,"Dec 14, 2019 - Feb 16, 2020",2019,"Netflix,  tvN "," Sunday, Saturday",16.0,1 hr. 25 min.,15+ - Teens 15 or older,9.0,after getting into a paragliding accident  south korean heiress yoon se ri crash lands in north korea. there  she meets north korean army officer ri jung hyuk  who agrees to help her return to south korea. despite the tension between their countries  the two of them start falling for one another.,military   comedy   romance   political,"North And South Korea, Star Crossed Lovers, Lovers From Different Countries, Strong Male Lead, Army Officer, Rich Female Lead, North Korean, Soldier, Fate, Nice Male Lead",Lee Jeong Hyo,Park Ji Eun,"Hyun Bin, Son Ye Jin, Seo Ji Hye, Kim Jung Hyun, Yang Kyung Won, Lee Shin Young","Studio Dragon, Culture Depot",#14
Vincenzo,"Feb 20, 2021 - May  2, 2021",2021,"Netflix,  tvN "," Saturday, Sunday",20.0,1 hr. 25 min.,15+ - Teens 15 or older,9.0,at the age of eight  park joo hyeong went to italy after being adopted. now an adult  he is known as vincenzo cassano to the mafia  who employ him as a consigliere. because mafia factions are at war with each other  he flees to south korea  where he gets involved with lawyer hong cha young. she is the type of attorney who will do anything to win a case. now back at his motherland  he gives an unrivaled conglomerate a taste of its own medicine with a side of justice.,comedy   law   crime   drama,"Mafia, Revenge, Smart Male Lead, Eccentric Female Lead, Injustice, Charming Male Lead, Bromance, Father-Daughter Relationship, Badass Male Lead, Smart Female Lead",Kim Hee Won,Park Jae Bum,"Song Joong Ki, Jeon Yeo Been, Ok Taec Yeon, Kim Yeo Jin, Jo Han Chul, Kwak Dong Yeon",Logos Film,#15
Navillera,"Mar 22, 2021 - Apr 27, 2021",2021,"Netflix,  tvN "," Monday, Tuesday",12.0,1 hr. 5 min.,15+ - Teens 15 or older,9.0,a 70-year-old with a dream and a 23-year-old with a gift lift each other out of harsh realities and rise to the challenge of becoming ballerinos.,friendship   life   drama   family,"Ballet, Dream, Life Lesson, Old-Young Generation, Unusual Friendship, Ballet Dancer, Personal Growth, Adapted From A Webtoon, Father-Son Relationship, Second Chance",Han Dong Hwa,Lee Eun Mi,"Park In Hwan, Song Kang, Na Moon Hee, Hong Seung Hee, Kim Tae Hoon, Yoon  Ji Hye","Studio Dragon, The Great Show",#16
Signal,"Jan 22, 2016 - Mar 12, 2016",2016,tvN," Friday, Saturday",16.0,1 hr. 15 min.,15+ - Teens 15 or older,9.0,fifteen years ago  a young girl was kidnapped on the way from school  and park hae yeong  who was an elementary school student at that time  witnessed the crime. a few days later  the girl was found dead  and the police were not able to find the culprit. as time went by  hae yeong started distrusting the police.,thriller   mystery   sci-fi,"Different Timelines, Hwaseong Serial Murders, Murder, Criminal Profiler, Serial Killer, Tragic Past, Smart Female Lead, Corruption, Time Altering, Kidnapping",Kim Won Suk,Kim Eun Hee,"Lee Je Hoon, Kim Hye Soo, Jo Jin Woong, Kim Won Hae, Lee Yoo Joon, Jang Hyun Sung",AStory,#17
Mr. Sunshine,"Jul  7, 2018 - Sep 30, 2018",2018,"Netflix,  tvN "," Saturday, Sunday",24.0,1 hr. 20 min.,15+ - Teens 15 or older,8.9,mr. sunshine centers on a young boy born into a house servant's family and travels to the united states during the 1871 shinmiyangyo (u.s. expedition to korea). he returns to his homeland later as a u.s. marine officer. he meets and falls in love with an aristocrat’s daughter. at the same time  he discovers a plot by foreign forces to colonize korea.  edit translation  english 한국어 中文(简体) русский,military   historical   romance   melodrama,"Independent Female Lead, Strong Male Lead, Strong Female Lead, Smart Male Lead, Bromance, Soldier, Foreigner, Rebellion, Japanese Colonial Rule, Sismance",Lee Eung Bok,Kim Eun Sook,"Lee Byung Hun, Kim Tae Ri, Kim Min Jung, Yoo Yeon Seok, Byun Yo Han, Kim Gab Soo","Studio Dragon, Hwa&Dam Pictures",#18
Happiness,"Nov  5, 2021 - Dec 11, 2021",2021,tvN," Friday, Saturday",12.0,1 hr. 5 min.,15+ - Teens 15 or older,8.9,a deadly new strain of a virus is spreading throughout the city. an apartment building that is home to people from different classes remains in quarantine. its residents must survive in their new habitat fearing both the virus and the potential conflicts between disparate social groups.,action   thriller   drama   fantasy,"Disease, Strong Female Lead, Survival, Virus, Fake Marriage, Zombies, Discrimination, Slow Burn Romance, Infectious Disease, Illness",Ahn Gil Ho,Han Sang Woon,"Han Hyo Joo, Park Hyung Sik, Jo  Woo Jin, Lee Joon Hyuk, Park Joo Hee, Baek Hyun Jin",Studio Dragon,#19
Kingdom: Season 2,"Mar 13, 2020",2020,Netflix,Friday,6.0,45 min.,18+ Restricted (violence & profanity),8.9,following the events in season one  waves of the undead threaten to reach the capital. in an attempt to save the people during the plague and regain his right to the throne  crown prince lee chang pursues jo hak joo to overthrow him  while the queen is in a race against time to produce an heir to the throne.,thriller   historical   horror   supernatural,"Zombies, Corruption, Strong Male Lead, Gore, Strong Female Lead, Power Struggle, Smart Female Lead, Death, Palace Politics, Greed","Kim Sung Hoon, Park In Je",Kim Eun Hee,"Joo Ji Hoon, Bae Doo Na, Kim Sung Gyu, Ryu Seung Ryong, Kim  Sang Ho, Jun Suk Ho",AStory,#20
SKY Castle,"Nov 23, 2018 - Feb  1, 2019",2018,jTBC," Friday, Saturday",20.0,1 hr. 15 min.,15+ - Teens 15 or older,8.9,han seo jin  noh seung hye  jin jin hee  and lee myung joo all live with their families in sky castle  a luxury private neighborhood hosting wealthy doctors and professors. all of the women wish for their children to enter prestigious universities and are actively supporting their education.,mystery   psychological   drama   family,"Multiple Mains, Social Commentary, Sibling, Medical, Social Satire, Female Centered Plot, Satire, Hospital, Mother-Daughter Relationship, Death",Jo Hyun Taek,Yoo Hyun Mi,"Yeom Jung Ah, Lee Tae Ran, Yoon Se Ah, Oh Na Ra, Kim Seo Hyung, Jung Joon Ho","HB Entertainment, Drama House",#21
Tomorrow,"Apr 1, 2022 - May 21, 2022",2022,"MBC, Netflix","Friday, Saturday",16.0,60 min.,15+ - Teens 15 or older,8.9,choi joon woong seeks a job  but it's hard for him to get hired. one night  he witnesses a man trying to end his life and decides to stop him. he gets acquainted with grim reapers koo ryeon and im ryoong gu  who belong to a crisis management team. their purpose is to prevent people from committing suicide. after joon woong ends up in a coma and becomes half-human and half-spirit  he is employed by a company of grim reapers as the newest member of the crisis management team.,action  thriller  drama  fantasy,"Grim Reaper Female Lead, Grim Reaper Male Lead, Underworld, Attempted Suicide, Death, Suicide, Afterlife, Suicide Prevention, Coma, Team Leader Female Lead","Kim Tae Yoon, Sung Chi Wook","Park Ran, Park Ja Kyung, Kim Yu Jin","Kim Hee Sun, Rowoon, Lee Soo Hyuk, Yun Ji On, Kim Hae Sook, Kim Nu Ri","Studio N, Super Moon Pictures",#22
Healer,"Dec  8, 2014 - Feb 10, 2015",2014,KBS2," Monday, Tuesday",20.0,60 min.,15+ - Teens 15 or older,8.9,"seo jung hoo is a special kind of night courier  known only as ""healer"" by his clients. for the right price and with the help of a genius hacker  he gets his clients whatever they want  as long as it doesn't involve murder. his latest job leads him to a second-rate tabloid writer  chae young shin  and the successful reporter  kim moon ho. he begins to uncover the mystery of his own shared past with the two reporters  thus putting them all in danger. edit translation  english русский ελληνικά italiano",action   thriller   mystery   romance,"Double Identity, Hidden Identity, Smart Male Lead, Strong Male Lead, Childish Female Lead, Fight, Secret, Sassy Female Lead, Reporter, Trauma","Lee Jung Sub, Kim Jin Woo",Song Ji Na,"Ji Chang Wook, Park Min Young, Yoo Ji Tae, Kim  Mi Kyung, Park Sang Won, Do Ji Won",Kim Jong-hak Production,#23
Stranger,"Jun 10, 2017 - Jul 30, 2017",2017,"Netflix,  tvN "," Saturday, Sunday",16.0,1 hr. 10 min.,15+ - Teens 15 or older,8.9,hwang shi mok underwent brain surgery as a child to curb his violent temper  which left him devoid of emotions.  hwang becomes a prosecutor known for his piercing intelligence and logic  but he is ostracized because he lacks empathy and social skills. he is also one of only a handful of upright prosecutors who have refused to take bribes. one day  he encounters a stabbing victim while investigating corruption. he meets lieutenant han yeo jin at the crime scene. they join forces to root out corruption at the prosecutors’ office and solve a serial murder case.,thriller   mystery   law   drama,"Suspense, Investigation, Corruption, Crime Solving Duo, Murder, Calm Male Lead, Alexithymia, Emotionless Male Lead, Strong Female Lead, Smart Female Lead",Ahn Gil Ho,Lee Soo Yeon,"Jo Seung Woo, Bae Doo Na, Lee Joon Hyuk, Yoo Jae Myung, Shin Hye Sun, Choi Jae Woong","Signal Entertainment Group, IOK Media",#24
Twenty-Five Twenty-One,"Feb 12, 2022 - Apr 3, 2022",2022,"Netflix, tvN","Saturday, Sunday",16.0,1 hr. 15 min.,15+ - Teens 15 or older,8.8,in a time when dreams seem out of reach  a teen fencer pursues big ambitions and meets a hardworking young man who seeks to rebuild his life. na hee do is a member of her high school fencing team. due to the south korean financial crisis  the high school fencing team gets disbanded. getting through all the difficulties  she becomes a member of the national fencing team. the south korean financial crisis also causes baek yi jin’s father's business to go bankrupt. this leads to a life change for baek yi jin  from living the life of a wealthy person to a poor person. while studying  he works part-time jobs like delivering newspapers. later  he becomes a sports reporter for a broadcasting network.,romance  life  drama  melodrama,"Coming Of Age, Nostalgia, Fencing, Nice Male Lead, Friendship, IMF Crisis, High School To Working Life, High School, Competition, Enemies To Friends","Jung Ji Hyun, Kim Seung Ho",Kwon Do Eun,"Kim Tae Ri, Nam Joo Hyuk, Bona, Choi Hyun Wook, Lee Joo Myung, Seo Jae Hee",Hwa&Dam Pictures,#25
The Red Sleeve,"Nov 12, 2021 - Jan 1, 2022",2021,"MBC, Viki","Friday, Saturday",17.0,1 hr. 20 min.,15+ - Teens 15 or older,8.8,in korea during the second half of the 1700s  yi san is an aloof and perfection-loving young prince. his father’s killing haunts him  although it leaves him in the position to take the throne once his grandfather – the cruel and ruthless current king responsible for yi san’s father’s death – dies. he has resolved to become a benevolent monarch who will reform the law when he eventually takes the throne  but the way his father was killed has scarred him emotionally. at court  he meets a young woman named sung deok im. yi san falls in love with her and tries to convince her to become his official concubine. but sung deok im is strong-willed and free-spirited. she is also intelligent enough to understand that becoming a royal consort to the future king is a prestigious role  but one that would restrict her freedom and likely bring her little in the way of joy. but yi san’s love for sung deok im is true  and she starts to understand that forming a union with him could ultimately benefit his troubled realm.,historical  romance  drama  melodrama,"Noble Man/Common Woman, Tearjerker, Death, Joseon Dynasty, Strong Male Lead, Male Chases Female First, Smart Female Lead, Master-Servant Relationship, Strong Female Lead, King Male Lead","Jung Ji In, Song Yeon Hwa",Jung Hae Ri,"Lee Jun Ho, Lee Se Young, Kang Hoon, Lee Deok Hwa, Park Ji Young, Jang Hee Jin","WeMad, NPIO Entertainment",#26
Goblin,"Dec  2, 2016 - Jan 21, 2017",2016,tvN," Friday, Saturday",16.0,1 hr. 22 min.,15+ - Teens 15 or older,8.8,kim shin was once an unbeatable general in goryeo's military who died a tragic death. he now possesses immortality but is tired of living while everyone else around him dies. for 900 years  kim shin has searched for his bride  a mortal who can pull out the sword and end his life. one day  he encounters ji eun tak  a positive  upbeat high school student who can see the dead and has gone through tragic events  yet still stays strong. she claims to be the goblin's bride who can end his immortal life  but what appears to be an easy task  only gets complicated  as the two fall in love.,comedy   romance   fantasy   melodrama,"Supernatural, Grim Reaper, Older Man/Younger Woman, Interspecies Romance, Dokkaebi, Fate, Tearjerker, Bromance, Death, Heartfelt",Lee Eung Bok,Kim Eun Sook,"Gong Yoo, Kim Go Eun, Lee Dong Wook, Yoo In Na, Yook Sung Jae, Lee El",Hwa&Dam Pictures,#27
The Uncanny Counter,"Nov 28, 2020 - Jan 24, 2021",2020,"Netflix,  OCN "," Saturday, Sunday",16.0,1 hr. 10 min.,15+ - Teens 15 or older,8.8,tells the story of demon hunters called counters who come to earth under the guise of being employees at a noodle restaurant in order to capture evil spirits that have returned to earth in pursuit of eternal life.,action   mystery   drama   supernatural,"Special Power, Righteous Male Lead, Evil Spirit, Strong Female Lead, Multiple Mains, Orphan Male Lead, Spirit, School Bullying, Childhood Trauma, Nice Male Lead",Yoo Seon Dong,"Yoo Seon Dong, Kim Sae Bom, Yeo Ji Na","Cho Byeong Kyu, Yoo  Joon Sang, Kim Se Jeong, Yeom Hye Ran, Ahn Suk Hwan, Lee Hong Nae",Neo Entertainment,#28
Mouse,"Mar  3, 2021 - May 19, 2021",2021,tvN," Wednesday, Thursday",20.0,1 hr. 15 min.,18+ Restricted (violence & profanity),8.7,a suspenseful story that asks the key question  “what if we could identify psychopaths in advance?” a crazed serial killer’s ruthless murders have left the entire nation gripped with fear  and chaos reigns. justice-seeking rookie police officer  jung ba reum  comes face to face with the killer. while he survives his dangerous encounter with the psychopath  jung ba reum finds his life completely changing before his eyes.,thriller   mystery   sci-fi,"Psychopath, Murder, Serial Killer, Investigation, Character Development, Detective, Neurosurgeon, Extreme Violence, Child Sexual Abuse, Flashback To Past","Choi Joon Bae, Kang Cheol Woo",Choi Ran,"Lee Seung Gi, Lee Hee Joon, Park Joo Hyun, Kyung Soo Jin, Woo Ji Hyun, Ahn Jae Wook","HIGROUND, Studio Invictus",#29
Kingdom,"Jan 25, 2019",2019,Netflix,Friday,6.0,51 min.,18+ Restricted (violence & profanity),8.8,no sooner does the joseon king succumb to smallpox  do the rumors of his death begin. the cho clan  the clan of the pregnant queen and her father  chief state councillor cho hak joo  declares the crown prince a traitor.,thriller   historical   horror   political,"Joseon Dynasty, Adapted From A Webtoon, Power Struggle, Gore, Nice Male Lead, Strong Male Lead, Survival, Corruption, Strong Female Lead, Epidemic",Kim Sung Hoon,Kim Eun Hee,"Joo Ji Hoon, Ryu Seung Ryong, Bae Doo Na, Kim Sung Gyu, Kim Chan Yi, Kim  Sang Ho",AStory,#30
Weightlifting Fairy Kim Bok Joo,"Nov 16, 2016 - Jan 11, 2017",2016,MBC," Wednesday, Thursday",16.0,60 min.,15+ - Teens 15 or older,8.8,bok joo is a weightlifter who is pursuing her dream of winning the gold medal but she then finds romance for the first time in her life. while she is a woman who trains with heavy steel weights  she is also very feminine when it comes to relationships. focusing solely on weightlifting would jeopardize her relationship but leaving her weightlifting career for love would keep her from attaining her dreams. can she find a way to have love as well as glory at the age of 20? the characters within this drama are elite athletes in weightlifting  swimming and rhythmic gymnastics who work hard to reach their goals in life. it covers their coming-of-age stories and relationships through hectic life.,comedy   romance   youth   sports,"College Life, Dream, Friends To Lovers, Weightlifting, Strong Female Lead, Bantering Relationship, Male Chases Female First, Tomboy, Swimming, Sismance","Oh Hyun Jong, Nam Sung Woo","Yang Hee Seung, Kim Soo Jin","Lee Sung Kyung, Nam Joo Hyuk, Lee Jae Yoon, Kyung Soo Jin, Cho Hye Jung, Lee Joo Young",Chorokbaem Media,#31
D.P.,"Aug 27, 2021",2021,Netflix,Friday,6.0,50 min.,15+ - Teens 15 or older,8.8,private soldier jun ho is a confused youth who served in the military normally like other koreans. one day  he suddenly becomes a member of the military defector arrest team. as such  he is tasked with capturing deserters and must grapple with the more troubling cases of why some soldiers feel they have no other choice but go absent without official leave.,action   military   comedy   drama,"Abuse, Soldier, Military Abuse, Violence, PTSD, Bromance, Overcoming Trauma, Adapted From A Webtoon, Sexual Assault, Desertion",Han Jun Hee,Kim Bo Tong,"Jung Hae In, Koo Kyo Hwan, Kim Sung Kyun, Son Seok Koo, Hong Kyung, Jo Hyun Chul","Climax Studio, Shotcake",#32
The Devil Judge,"Jul  3, 2021 - Aug 22, 2021",2021,tvN," Saturday, Sunday",16.0,1 hr. 10 min.,15+ - Teens 15 or older,8.8,"set in a dystopian version of present-day korea where daily life is chaos and society has collapsed to the point that people openly voice their distrust and hatred for their leaders. in this world bereft of law and order  head trial judge kang signals the need for change. his courtroom is the subject of a reality show where he mercilessly punishes the guilty  earning him the ""devil judge"" nickname. as a divisive figure with an aura of mystery that belies his true identity and ambitions  the public is unsure whether he is a true hero or someone  knowingly sowing the seeds of discontent in his courtroom.",mystery   law   crime   drama,"Judge, Tough Past, Dystopia, Antihero, Bromance, Hardworking Male Lead, Courtroom, Corruption, Strong Female Lead, Mysterious Male Lead",Choi Jung Gyu,Moon Yoo Seok,"Ji Sung, Kim Min Jung, Park Jin Young, Park Gyu Young, Jeon Chae Eun, Kim Jae Kyung","Studio Dragon, Studio&NEW",#33
The Penthouse,"Oct 26, 2020 - Jan  5, 2021",2020,SBS," Monday, Tuesday",21.0,1 hr. 25 min.,15+ - Teens 15 or older,8.8,the residents of hera palace  a luxury penthouse apartment with 100 floors  have many secrets and hidden ambitions. sim su ryeon  who was born into wealth  is the queen of the penthouse apartment. cheon seo jin  the prima donna of the residence  does all she can to give everything to her daughter. oh yoon hee comes from a poor family background  but she strives to enter high society by becoming the queen of the penthouse  the pinnacle of success in her eyes. a battle for wealth  power  and prestige at seoul’s most coveted penthouse begins.,thriller   mystery   drama   family,"Betrayal, Revenge, Greed, Jealousy, Female Centered Plot, Married Couple, Opera Singer, Motherhood, Twins, School Bullying",Joo Dong Min,Kim Soon Ok,"Lee Ji Ah, Kim So Yeon, Eugene, Uhm Ki Joon, Bong Tae Kyu, Shin Eun Kyung","Studio S, Chorokbaem Media",#34
